Store_ID,Device_ID,Date,Hour,Total enters,Total exited
H017,gate_entrance,20250619,0900,0,0
H017,gate_entrance,20250619,0900,5,5
H017,gate_entrance,20250619,0930,2,2
H017,gate_entrance,20250619,0930,2,3
H017,gate_entrance,20250619,1000,8,11
H017,gate_entrance,20250619,1000,3,3
H017,gate_entrance,20250619,1030,0,1
H017,gate_entrance,20250619,1030,2,2
H017,gate_entrance,20250619,1100,1,0
H017,gate_entrance,20250619,1100,2,2
H017,gate_entrance,20250619,1130,0,0
H017,gate_entrance,20250619,1130,2,2
H017,gate_entrance,20250619,1200,5,2
H017,gate_entrance,20250619,1200,0,0
H017,gate_entrance,20250619,1230,5,2
H017,gate_entrance,20250619,1230,1,2
H017,gate_entrance,20250619,1300,3,4
H017,gate_entrance,20250619,1300,0,0
H017,gate_entrance,20250619,1330,3,4
H017,gate_entrance,20250619,1330,1,2
H017,gate_entrance,20250619,1400,2,1
H017,gate_entrance,20250619,1400,0,1
H017,gate_entrance,20250619,1430,8,3
H017,gate_entrance,20250619,1430,3,1
H017,gate_entrance,20250619,1500,25,21
H017,gate_entrance,20250619,1500,0,2
H017,gate_entrance,20250619,1530,4,8
H017,gate_entrance,20250619,1530,0,1
